RunID,SourceID,SourceTime,
100001,0,0.00,
100002,0,0.00,
100003,0,0.00,
100004,1,65.58,
100005,0,0.00,
100006,6,36.19,
100007,1,44.10,
100008,1,61.47,
100009,0,0.00,
100010,0,0.00,
100011,0,0.00,
100012,0,0.00,
100013,1,38.99,
100014,4,382.13,
100015,6,68.69,
100016,0,0.00,
100017,0,0.00,
100018,1,38.13,
100019,4,43.82,
100020,2,57.35,
100021,1,40.34,
100022,0,0.00,
100023,6,391.27,
100024,2,68.15,
100025,0,0.00,
100026,1,130.50,
100027,1,54.99,
100028,0,0.00,
100029,0,0.00,
100030,3,64.05,
100031,4,39.33,
100032,4,30.41,
100033,6,55.12,
100034,3,372.54,
100035,0,0.00,
100036,1,48.95,
100037,4,51.07,
100038,3,83.98,
100039,0,0.00,
100040,3,36.73,
100041,6,32.88,
100042,0,0.00,
100043,0,0.00,
100044,2,240.04,
100045,4,91.85,
100046,0,0.00,
100047,6,213.53,
100048,6,35.59,
100049,0,0.00,
100050,3,60.64,
100051,2,77.18,
100052,2,39.26,
100053,5,41.19,
100054,0,0.00,
100055,0,0.00,
100056,0,0.00,
100057,0,0.00,
100058,0,0.00,
100059,2,51.32,
100060,2,33.42,
100061,3,67.15,
100062,6,30.62,
100063,0,0.00,
100064,2,60.73,
100065,4,61.04,
100066,0,0.00,
100067,1,44.10,
100068,3,57.39,
100069,0,0.00,
100070,3,32.00,
100071,2,47.72,
100072,2,62.72,
100073,6,56.68,
100074,1,83.28,
100075,0,0.00,
100076,0,0.00,
100077,2,32.15,
100078,6,32.62,
100079,0,0.00,
100080,0,0.00,
100081,3,98.44,
100082,0,0.00,
100083,0,0.00,
100084,0,0.00,
100085,0,0.00,
100086,4,56.67,
100087,2,31.52,
100088,0,0.00,
100089,6,39.38,
100090,4,37.02,
100091,5,31.46,
100092,1,40.60,
100093,0,0.00,
100094,4,39.99,
100095,0,0.00,
100096,3,49.71,
100097,0,0.00,
100098,5,58.50,
100099,1,38.55,
100100,0,0.00,
100101,2,73.88,
100102,0,0.00,
100103,6,61.40,
100104,0,0.00,
100105,0,0.00,
100106,1,267.67,
100107,2,104.90,
100108,2,86.77,
100109,3,70.04,
100110,0,0.00,
100111,0,0.00,
100112,0,0.00,
100113,0,0.00,
100114,0,0.00,
100115,0,0.00,
100116,4,66.73,
100117,3,116.80,
100118,0,0.00,
100119,2,169.80,
100120,2,189.90,
