"Channel1","Channel2","Channel3","Channel4","Channel5","Channel6","Channel7","Channel8","Channel9","Channel10","Channel11","Channel12","Channel13","Channel14","Channel15","Channel16","Channel17","Channel18","Channel19","Channel20","Channel21","Channel22","Channel23","Channel24","Channel25","Channel26","Channel27","Channel28","Channel29","Channel30","Channel31","Channel32","Channel33","Channel34","Channel35","Channel36","Channel37","Channel38","Channel39","Channel40","Channel41","Channel42","Channel43","Channel44","Channel45","Channel46","Channel47","Channel48","Channel49","Channel50","Channel51","Channel52","Channel53","Channel54","Channel55","Channel56","Channel57","Channel58","Channel59","Channel60","Channel61","Channel62","Channel63","Channel64","Channel65","Channel66","Channel67","Channel68","Channel69","Channel70","Channel71","Channel72","Channel73","Channel74","Channel75","Channel76","Channel77","Channel78","Channel79","Channel80","Channel81","Channel82","Channel83","Channel84","Channel85","Channel86","Channel87","Channel88","Channel89","Channel90","Channel91","Channel92","Channel93","Channel94","Channel95","Channel96","Channel97","Channel98","Channel99","Channel100","Channel101","Channel102","Channel103","Channel104","Channel105","Channel106","Channel107","Channel108","Channel109","Channel110","Channel111","Channel112","Channel113","Channel114","Channel115","Channel116","Channel117","Channel118","Channel119","Channel120","Channel121","Channel122","Channel123","Channel124","Channel125","Channel126","Channel127","Channel128"
5,28,90,150,134,141,89,71,66,59,53,52,46,29,26,32,31,28,9,20,10,9,10,13,7,7,14,10,11,14,9,5,7,6,6,10,4,3,6,4,5,5,5,8,6,1,4,1,2,4,5,3,3,4,4,1,1,2,3,1,2,0,0,3,1,1,1,1,5,1,5,5,3,3,0,0,0,0,1,2,2,1,2,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,2
4,30,98,171,139,102,107,99,65,62,47,64,46,32,27,30,28,12,17,11,14,13,10,14,10,16,9,12,13,20,12,9,4,5,6,1,7,5,2,7,3,6,4,7,6,5,3,7,1,0,3,0,2,8,5,4,2,2,0,3,2,0,2,3,3,0,2,3,4,6,3,5,5,0,1,0,0,0,1,0,0,1,0,1,2,1,2,0,3,0,1,1,0,0,0,0,0,0,1,0,1,2,1,0,0,2,0,3,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
7,31,106,165,134,131,115,84,70,57,56,57,44,43,38,26,29,37,15,13,8,9,17,11,7,9,6,10,19,12,15,12,8,5,9,5,9,3,4,5,4,2,6,2,6,7,8,2,4,6,3,1,3,3,8,4,5,1,1,1,0,2,3,1,0,3,1,3,3,3,8,4,8,0,1,1,0,4,2,0,2,1,0,2,2,6,2,2,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0
3,34,108,179,142,129,85,85,68,65,59,37,34,27,21,23,30,19,15,13,20,14,15,17,13,11,13,7,23,14,9,5,3,2,3,5,7,3,5,4,5,3,2,5,5,2,4,4,5,3,3,1,2,1,4,2,1,1,3,2,0,2,4,4,4,0,4,1,6,4,9,8,3,1,2,2,0,1,1,2,0,0,3,1,2,2,5,0,0,2,1,2,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,1
10,31,96,162,170,98,118,93,63,53,53,59,33,27,28,24,31,26,23,19,18,12,11,6,12,7,12,15,21,24,10,7,4,4,7,4,9,9,5,3,2,1,9,6,5,6,3,11,1,4,2,2,3,3,6,2,6,5,1,2,1,4,3,0,0,0,3,7,3,7,6,4,4,1,2,2,2,1,1,1,0,2,0,2,1,3,4,0,2,0,0,2,0,0,0,3,0,1,0,0,1,1,0,1,3,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
5,19,90,174,153,110,94,72,64,56,55,41,26,42,33,34,28,22,13,11,14,14,12,14,8,10,7,13,9,20,15,8,10,2,4,6,5,1,4,3,7,10,7,2,3,10,2,3,3,1,3,1,4,2,1,4,3,4,1,1,4,2,0,0,2,2,3,4,4,5,5,2,8,6,0,3,0,1,0,0,0,1,0,3,1,1,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
6,18,88,174,134,124,91,81,69,60,56,67,34,39,29,21,27,19,20,11,12,15,11,12,10,9,12,7,11,13,11,0,4,3,11,7,4,10,5,6,7,6,2,4,7,4,6,4,2,2,3,5,3,4,2,4,3,2,6,4,0,1,1,1,1,5,2,4,4,6,5,6,2,0,2,4,0,1,1,2,2,0,0,1,1,3,3,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
7,26,82,169,143,122,77,76,68,61,60,38,30,29,28,31,28,19,22,14,19,12,9,11,8,7,7,9,13,16,11,7,6,3,4,4,4,4,7,5,4,4,2,5,2,5,1,5,3,2,4,2,2,1,5,1,5,4,1,5,1,3,0,0,2,0,2,3,1,7,3,4,7,0,3,0,0,2,1,0,2,1,0,2,2,0,2,3,0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
5,33,108,149,142,103,98,79,60,51,56,55,33,26,22,33,25,16,20,6,23,13,11,11,6,6,10,10,15,20,13,8,8,6,5,8,5,4,4,7,1,6,3,0,11,3,3,6,3,5,0,1,3,6,4,5,0,2,1,3,1,4,2,4,3,3,2,3,4,4,5,3,5,1,2,0,0,1,2,1,2,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1
10,31,99,150,136,110,99,74,63,66,49,45,37,39,25,32,34,12,16,6,13,6,17,9,7,13,16,5,13,11,13,8,6,3,7,4,6,5,6,6,5,4,3,3,9,0,2,2,1,3,6,2,6,6,4,6,6,5,3,0,4,0,0,0,0,3,5,1,2,6,10,5,1,4,1,2,1,3,0,0,1,0,1,0,4,0,2,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1
