"RunID","SourceID","SourceTime"
100001,0,0
100002,0,0
100003,0,0
100004,1,99.08
100005,0,0
100006,6,9.19
100007,1,76.1
100008,1,23.22
100009,0,0
100010,0,0
100011,0,0
100012,0,0
100013,1,88.24
100014,4,13.13
100015,6,97.19
100016,0,0
100017,0,0
100018,1,44.13
100019,4,111.07
100020,2,73.1
100021,1,80.09
100022,0,0
100023,6,44.02
100024,2,67.15
100025,0,0
100026,1,95
100027,1,69.24
100028,0,0
100029,0,0
100030,3,88.05
100031,4,91.08
100032,4,97.16
100033,6,68.12
100034,3,113.04
100035,0,0
100036,1,12.2
100037,4,67.07
100038,3,75.23
100039,0,0
100040,3,106.23
100041,6,100.13
100042,0,0
100043,0,0
100044,2,56.04
100045,4,59.1
100046,0,0
100047,6,93.03
100048,6,91.09
100049,0,0
100050,3,72.14
100051,2,55.18
100052,2,98.01
100053,5,92.19
100054,0,0
100055,0,0
100056,0,0
100057,0,0
100058,0,0
100059,2,69.07
100060,2,63.17
100061,3,51.15
100062,6,45.12
100063,0,0
100064,2,89.23
100065,4,108.04
100066,0,0
100067,1,80.1
100068,3,105.14
100069,0,0
100070,3,24
100071,2,93.22
100072,2,57.22
100073,6,111.18
100074,1,105.03
100075,0,0
100076,0,0
100077,2,25.15
100078,6,42.12
100079,0,0
100080,0,0
100081,3,80.19
100082,0,0
100083,0,0
100084,0,0
100085,0,0
100086,4,99.17
100087,2,26.02
100088,0,0
100089,6,91.13
100090,4,112.02
100091,5,99.21
100092,1,75.1
100093,0,0
100094,4,63.24
100095,0,0
100096,3,93.21
100097,0,0
100098,5,72
100099,1,103.05
100100,0,0
100101,2,105.13
100102,0,0
100103,6,96.15
100104,0,0
100105,0,0
100106,1,110.17
100107,2,64.15
100108,2,50.02
100109,3,23.04
100110,0,0
100111,0,0
100112,0,0
100113,0,0
100114,0,0
100115,0,0
100116,4,60.23
100117,3,62.05
100118,0,0
100119,2,88.05
100120,2,22.15
100121,6,84.06
100122,4,95.06
100123,0,0
100124,0,0
100125,6,111.16
100126,0,0
100127,0,0
100128,5,78.1
100129,0,0
100130,1,61.22
100131,4,66.07
100132,5,104.1
100133,0,0
100134,3,95.17
100135,0,0
100136,0,0
100137,5,45.04
100138,2,24.07
100139,3,78.05
100140,0,0
100141,0,0
100142,0,0
100143,0,0
100144,1,58.23
100145,6,97.11
100146,0,0
100147,0,0
100148,3,48.08
100149,4,56.24
100150,0,0
100151,6,98.23
100152,5,42.08
100153,3,96.19
100154,0,0
100155,2,95.07
100156,6,90.11
100157,0,0
100158,1,84.07
100159,0,0
100160,0,0
100161,3,110.03
100162,4,51.08
100163,3,100.23
100164,0,0
100165,0,0
100166,4,102.09
100167,0,0
100168,0,0
100169,6,85.14
100170,0,0
100171,0,0
100172,0,0
100173,0,0
100174,5,46.02
100175,2,94.01
100176,1,105.04
100177,4,95.13
100178,3,61.1
100179,3,100.21
100180,0,0
100181,6,97.15
100182,0,0
100183,0,0
100184,3,89.18
100185,0,0
100186,0,0
100187,0,0
100188,0,0
100189,0,0
100190,0,0
100191,3,38.01
100192,5,99.05
100193,3,60.18
100194,2,76.03
100195,2,112.22
100196,5,67.2
100197,6,43.19
100198,0,0
100199,4,76.18
100200,4,83.22
100201,0,0
100202,0,0
100203,0,0
100204,0,0
100205,5,41.09
100206,0,0
100207,1,103.16
100208,1,98.1
100209,0,0
100210,5,84.22
100211,0,0
100212,0,0
100213,5,86.1
100214,0,0
100215,6,57.23
100216,2,63.09
100217,0,0
100218,0,0
100219,6,108.1
100220,1,56.24
100221,1,20.1
100222,0,0
100223,0,0
100224,6,108.2
100225,0,0
100226,0,0
100227,0,0
100228,6,84.19
100229,4,66.11
100230,5,112.03
100231,3,66.05
100232,6,105.03
100233,0,0
100234,2,63.21
100235,3,33.04
100236,4,60.07
100237,1,44.08
100238,3,61.02
100239,0,0
100240,5,46.02
100241,0,0
100242,0,0
100243,6,46.05
100244,2,92.22
100245,0,0
100246,5,61
100247,0,0
100248,0,0
100249,0,0
100250,0,0
100251,0,0
100252,5,62.06
100253,6,99.13
100254,0,0
100255,0,0
100256,0,0
100257,4,69.19
100258,4,73.14
100259,0,0
100260,3,90.11
100261,0,0
100262,3,81.02
100263,0,0
100264,0,0
100265,0,0
100266,0,0
100267,0,0
100268,3,78.12
100269,0,0
100270,2,100.21
100271,5,78.18
100272,4,103.2
100273,0,0
100274,0,0
100275,2,52.09
100276,2,96.13
100277,1,91.11
100278,1,87.05
100279,3,91.14
100280,6,109.13
100281,0,0
100282,0,0
100283,0,0
100284,0,0
100285,6,77.2
100286,0,0
100287,0,0
100288,0,0
100289,1,53.14
100290,0,0
100291,0,0
100292,5,85.04
100293,1,13.21
100294,4,108
100295,0,0
100296,5,61.09
100297,3,110.23
100298,0,0
100299,0,0
100300,4,59.08
100301,0,0
100302,0,0
100303,5,112
100304,0,0
100305,1,41.2
100306,0,0
100307,0,0
100308,0,0
100309,0,0
100310,0,0
100311,3,66.04
100312,0,0
100313,0,0
100314,2,71.1
100315,0,0
100316,4,34.09
100317,1,78.16
100318,3,55.24
100319,0,0
100320,0,0
100321,0,0
100322,0,0
100323,2,74.18
100324,6,62.15
100325,0,0
100326,0,0
100327,0,0
100328,0,0
100329,3,57.23
100330,0,0
100331,0,0
100332,6,81.2
100333,0,0
100334,0,0
100335,0,0
100336,0,0
100337,0,0
100338,0,0
100339,0,0
100340,3,95.13
100341,0,0
100342,0,0
100343,4,74.01
100344,4,110.02
100345,0,0
100346,2,94.23
100347,0,0
100348,0,0
100349,3,98.03
100350,0,0
100351,0,0
100352,0,0
100353,4,90.19
100354,0,0
100355,1,112.14
100356,0,0
100357,0,0
100358,1,90.05
100359,4,97.06
100360,0,0
100361,2,82
100362,0,0
100363,3,96.09
100364,0,0
100365,0,0
100366,0,0
100367,0,0
100368,3,104.07
100369,0,0
100370,6,34.07
100371,0,0
100372,0,0
100373,5,58.08
100374,4,92.01
100375,0,0
100376,0,0
100377,5,90.19
100378,5,13.03
100379,0,0
100380,1,112
100381,5,77.2
100382,6,106.15
100383,6,94.03
100384,2,52.11
100385,6,50.08
100386,4,103.04
100387,0,0
100388,1,83.1
100389,4,103.18
100390,0,0
100391,0,0
100392,0,0
100393,2,56.09
100394,6,112.05
100395,4,108.03
100396,3,67.09
100397,0,0
100398,0,0
100399,0,0
100400,0,0
100401,0,0
100402,0,0
100403,6,101.05
100404,1,89.01
100405,5,94.03
100406,0,0
100407,0,0
100408,0,0
100409,4,72.14
100410,0,0
100411,0,0
100412,0,0
100413,0,0
100414,4,108.09
100415,6,45.1
100416,2,111.18
100417,0,0
100418,5,47.05
100419,0,0
100420,6,28.17
100421,0,0
100422,0,0
100423,0,0
100424,0,0
100425,0,0
100426,4,94.15
100427,0,0
100428,0,0
100429,0,0
100430,0,0
100431,0,0
100432,5,108.11
100433,0,0
100434,0,0
100435,6,100.01
100436,4,95.11
100437,2,83.08
100438,0,0
100439,0,0
100440,4,73.2
100441,0,0
100442,0,0
100443,0,0
100444,0,0
100445,2,112.06
100446,3,100.01
100447,1,26.19
100448,0,0
100449,0,0
100450,5,104.18
100451,0,0
100452,0,0
100453,4,15.04
100454,0,0
100455,0,0
100456,0,0
100457,0,0
100458,3,18.09
100459,5,49.11
100460,2,35.23
100461,0,0
100462,0,0
100463,5,101.06
100464,0,0
100465,0,0
100466,0,0
100467,1,92.19
100468,0,0
100469,0,0
100470,1,111.23
100471,0,0
100472,0,0
100473,1,90.06
100474,3,113.01
100475,5,95.01
100476,0,0
100477,4,53.16
100478,0,0
100479,0,0
100480,0,0
100481,3,80.23
100482,0,0
100483,0,0
100484,0,0
100485,0,0
100486,5,50.21
100487,0,0
100488,2,88.04
100489,0,0
100490,1,76.11
100491,0,0
100492,0,0
100493,6,76.21
100494,0,0
100495,3,97.14
100496,5,85.06
100497,0,0
100498,6,36.04
100499,0,0
100500,4,36.04
100501,0,0
100502,0,0
100503,0,0
100504,6,55.19
100505,4,113.23
100506,2,9.11
100507,0,0
100508,0,0
100509,0,0
100510,6,67.01
100511,0,0
100512,4,32.1
100513,6,41.01
100514,0,0
100515,0,0
100516,0,0
100517,6,78.02
100518,0,0
100519,0,0
100520,3,64.18
100521,0,0
100522,0,0
100523,6,93.05
100524,0,0
100525,0,0
100526,2,75.04
100527,1,64.18
100528,0,0
100529,0,0
100530,5,44.06
100531,0,0
100532,0,0
100533,0,0
100534,0,0
100535,1,112.14
100536,6,84.15
100537,0,0
100538,0,0
100539,5,64.21
100540,0,0
100541,3,102.03
100542,2,111.04
100543,0,0
100544,0,0
100545,0,0
100546,0,0
100547,5,20.2
100548,0,0
100549,0,0
100550,2,36.1
100551,2,75.06
100552,5,66.05
100553,0,0
100554,0,0
100555,0,0
100556,0,0
100557,0,0
100558,0,0
100559,0,0
100560,6,103.13
100561,0,0
100562,0,0
100563,0,0
100564,0,0
100565,0,0
100566,2,101.17
100567,6,24.13
100568,0,0
100569,2,63.24
100570,0,0
100571,3,55.14
100572,0,0
100573,0,0
100574,0,0
100575,0,0
100576,0,0
100577,2,93
100578,2,108.19
100579,2,90.12
100580,0,0
100581,0,0
100582,4,100
100583,0,0
100584,4,57.18
100585,0,0
100586,0,0
100587,1,70.19
100588,0,0
100589,5,43.19
100590,0,0
100591,0,0
100592,2,96.18
100593,0,0
100594,1,113.22
100595,3,33
100596,0,0
100597,0,0
100598,0,0
100599,0,0
100600,1,112.02
100601,6,22.07
100602,3,49.01
100603,0,0
100604,0,0
100605,0,0
100606,5,101.09
100607,0,0
100608,0,0
100609,0,0
100610,0,0
100611,0,0
100612,1,72.04
100613,3,74.06
100614,0,0
100615,6,26.01
100616,0,0
100617,0,0
100618,0,0
100619,0,0
100620,0,0
100621,4,111.09
