"RunID","SourceID","SourceTime","Comment"
400001,0,0,NA
400002,0,0,NA
400003,0,0,NA
400004,0,0,NA
400005,3,48.25,NA
400006,0,0,NA
400007,0,0,NA
400008,0,0,NA
400009,2,63.75,NA
400010,0,0,NA
400011,0,0,NA
400012,0,0,NA
400013,0,0,NA
400014,0,0,NA
400015,4,32.75,NA
400016,0,0,NA
400017,6,47,NA
400018,0,0,NA
400019,0,0,NA
400020,0,0,NA
400021,5,60.25,NA
400022,5,120.75,NA
400023,0,0,NA
400024,0,0,NA
400025,0,0,NA
400026,0,0,NA
400027,4,43.25,NA
400028,3,56,NA
400029,1,90.5,NA
400030,2,143.5,NA
400031,5,233,NA
400032,0,0,NA
400033,4,426.25,NA
400034,2,83.25,NA
400035,0,0,NA
400036,0,0,NA
400037,0,0,NA
400038,0,0,NA
400039,4,41.75,NA
400040,1,50,NA
400041,0,0,NA
400042,3,51,NA
400043,0,0,NA
400044,6,93.5,NA
400045,0,0,NA
400046,3,308.25,NA
400047,3,49.5,NA
400048,0,0,NA
400049,2,288,NA
400050,4,55.25,NA
400051,0,0,NA
400052,5,58,NA
400053,0,0,NA
400054,3,108.5,NA
400055,0,0,NA
400056,0,0,NA
400057,0,0,NA
400058,0,0,NA
400059,0,0,NA
400060,5,62.25,NA
400061,0,0,NA
400062,5,106.75,NA
400063,0,0,NA
400064,0,0,NA
400065,4,28.75,NA
400066,6,70.5,NA
400067,0,0,NA
400068,0,0,NA
400069,0,0,NA
400070,0,0,NA
400071,0,0,NA
400072,0,0,NA
400073,3,200,NA
400074,3,65.25,NA
400075,3,49,NA
400076,0,0,NA
400077,0,0,NA
400078,1,122,NA
400079,3,50.25,NA
400080,6,162.25,NA
400081,3,38.75,NA
400082,0,0,NA
400083,0,0,NA
400084,4,35.5,NA
400085,3,62,NA
400086,0,0,NA
400087,0,0,NA
400088,0,0,NA
400089,5,139.75,NA
400090,1,47.75,NA
400091,0,0,NA
400092,3,98,NA
400093,4,30,NA
400094,0,0,NA
400095,0,0,NA
400096,0,0,NA
400097,0,0,NA
400098,0,0,NA
400099,6,43,NA
400100,0,0,NA
400101,0,0,NA
400102,6,54.25,NA
400103,3,109,NA
400104,3,38.75,NA
400105,0,0,NA
400106,3,34.25,NA
400107,0,0,NA
400108,0,0,NA
400109,0,0,NA
400110,0,0,NA
