"","x"
"1",2923
"2",11325
"3",37218
"4",60611
"5",55276
"6",45270
"7",37401
"8",31036
"9",26101
"10",22964
"11",19967
"12",18811
"13",14559
"14",12983
"15",11962
"16",9768
"17",10761
"18",9269
"19",6360
"20",5457
"21",4956
"22",4607
"23",4313
"24",4113
"25",4040
"26",3742
"27",3599
"28",4072
"29",5278
"30",5721
"31",4111
"32",2544
"33",2155
"34",2112
"35",2012
"36",2033
"37",2169
"38",2072
"39",1938
"40",1799
"41",1674
"42",1626
"43",1755
"44",1837
"45",1961
"46",1870
"47",1658
"48",1516
"49",1264
"50",1143
"51",1069
"52",1228
"53",1410
"54",1561
"55",1653
"56",1454
"57",1170
"58",1038
"59",1064
"60",1111
"61",1006
"62",888
"63",689
"64",629
"65",595
"66",725
"67",853
"68",1172
"69",1641
"70",2061
"71",2177
"72",1972
"73",1385
"74",847
"75",560
"76",434
"77",391
"78",359
"79",326
"80",330
"81",342
"82",383
"83",438
"84",585
"85",637
"86",628
"87",513
"88",452
"89",317
"90",255
"91",224
"92",170
"93",165
"94",144
"95",111
"96",116
"97",124
"98",113
"99",155
"100",150
"101",171
"102",203
"103",189
"104",201
"105",214
"106",211
"107",221
"108",203
"109",202
"110",134
"111",119
"112",126
"113",85
"114",93
"115",63
"116",98
"117",79
"118",66
"119",71
"120",65
"121",76
"122",91
"123",133
"124",175
"125",211
"126",283
"127",254
"128",233
