spectra,cps
66,1982
77,1766
69,1754
70,1751
67,1733
76,1653
65,1575
68,1551
78,1546
75,1529
7,1395
71,1381
72,1189
6,1187
74,1176
41,1162
73,1160
8,1074
42,1070
9,1022
40,1010
55,992
54,983
5,942
0,911
38,902
10,891
64,890
43,866
36,863
39,862
37,843
4,837
1,834
53,820
3,809
14,803
17,798
35,798
11,798
21,791
19,789
2,789
47,785
44,783
45,783
20,779
56,776
34,773
16,772
46,766
18,760
12,760
63,755
15,751
22,748
57,743
51,738
13,725
62,719
29,716
52,715
33,709
58,696
25,696
30,694
50,692
26,691
28,688
31,685
59,685
32,683
49,679
27,678
24,678
48,661
60,657
23,654
61,648
79,40
